course_id,title,level,length,timeslot,group,description,exam_type,pass_pct,median,mean
NPLK14030U - SCIENCE,Climate Change and Land Use,Master,ECTS: 7.5,Block(s): 2,Group(s): C,Climate Change and Land Use is an interdisciplinary course offered by the University of Copenhagen. It is open for MSc students and continuing education students with a relevant BSc background in natu...,Oral (15m),Pass 95.83%,Median 10,Average 9.78
NIGK14056U - SCIENCE,Climate Change and Water Resources,Master,ECTS: 7.5,Block(s): 2,Group(s): A,"Contents of the course: 1. Basic statistical concepts. Statistical analysis of historical climatic and hydrologic variables on seasonal and annual basis. Homogeneity test, trend test, analysis of ext...","Assignment
Oral (20m)",Pass 100%,Median 10,Average 8.7
NFYK13000U - SCIENCE,Climate Change Mechanisms and Tipping Points,Master,ECTS: 7.5,Block(s): 3,Group(s): C,'The course aims at providing an up-to-date introduction to fundamental physical and bio-geo-chemical mechanisms defining the climate and climate variations on Earth. The following topics are covered:...,Oral (25m),Pass 97.56%,Median 10,Average 8.83
NIGK13004U - SCIENCE,Climate Change: An Interdisciplinary Challenge,Master,ECTS: 15,Block(s): 1-2,Group(s): C,"The course will comprise the following themes:The climate system, including climate modelsPaleoclimatic evidence and tipping elements of the Earth SystemThe Carbon cycleAdaptation to climate change at...","Assignment
Oral (20m)",Pass 100%,Median 10,Average 10.3
NPLK14018U - SCIENCE,Climate Management in Plant Production and Research,Master,ECTS: 7.5,Block(s): 2,Group(s): C,"The course is divided into several topics and when possible, theoretical lectures are combined with practical exercises. The exercises are focused around a plant growth experiment in two different cli...",Oral,Pass 93.33%,Median 7,Average 7.53
NFYK17002U - SCIENCE,Climate Models and Observations,Master,ECTS: 7.5,Block(s): 2,Group(s): A,The course will comprise the following elements:What is a climate model?Observations of climate variations in the recent and deeper pastObservations of present day climate change (Satellite data as we...,Oral (25m),Pass 100%,Median 10,Average 9.61
LPLK10381U - SCIENCE,Climate Solutions,Master,ECTS: 15,Block(s): 2,Group(s): A,Climate Solutions is an interdisciplinary course offered by the University of Copenhagen. It is open for MSc students and continuing education students with a relevant BSc background in natural scienc...,"Oral (15m)
Assignment",Pass 100%,Median 10,Average 9.07
NNEK23007U - SCIENCE,Clinical Nutrition and Pathophysiology,Master,ECTS: 7.5,Block(s): 4,Group(s): A,The course will focus on the role of nutrition in the prevention and treatment of diseases. The course presents the links between the influence of disease on nutritional status and metabolism of nutri...,Written (2h),Pass 100%,Median 10,Average 8.68
NDAB24009U - SCIENCE,Co-design af digital sundhed,Bachelor,ECTS: 7.5,Block(s): 1,Group(s): B,Kurset giver et overblik over forskellige tilgange til design af digitale sundhedsteknologier og praktisk erfaring med co-design metoder. Formålet er at gøre den studerende i stand til at forstå samme...,Assignment (20m),Pass 100%,Median 10,Average 8.08
NNEK25001U - SCIENCE,Coaching in Sport and Health,Master,ECTS: 7.5,Block(s): 2,Group(s): B,"Overview of foundational coaching theories, evidence-based practices, and the evolution of coaching psychology. Focus on current issues, ethical considerations, cultural competency, and practical coac...",Oral (30m),Pass N/A,Median N/A,Average N/A
NIGK17014U - SCIENCE,Coastal Geoscience,Master,ECTS: 7.5,Block(s): 1,Group(s): A,This competence-line course teaches state-of the art knowledge within the field of coastal geoscience. The course focuses on coastal dynamics (processes) and coastal deposits on spatial and temporal s...,"Assignment
Oral (20m)",Pass 100%,Median 10,Average 9.21
NMAK25000U - SCIENCE,Commutative Algebra (ComAlg),Master,ECTS: 7.5,Block(s): 2,Group(s): C,"Rings, ideals and modules.Homomorphisms, tensor product, flatness, fractions and localization.Chain conditions, Noetherian and Artinian rings. Hilbert basistheorem.The Cayley-Hamilton theorem and Naka...",Oral (30m),Pass N/A,Median N/A,Average N/A
NMAK17002U - SCIENCE,Complex Analysis 2,Master,ECTS: 7.5,Block(s): 2,Group(s): C,"The course covers fundamental aspects of complex analysis, such as Normal families, conformal mapping and Riemann's mapping theoremInfinite products, Weierstrass factorization and applications to Eule...",Oral (30m),Pass 92.86%,Median 10,Average 9.38
NFYK18005U - SCIENCE,Complex Physics,Master,ECTS: 7.5,Block(s): 1,Group(s): A,"The topics that will be covered are: Equilibrium physics with Phase transitions and Ising model,  Monte Carlo simulations, critical phenomena, Scale free systems, Percolation, Self organization, Netwo...","Continuous Assesment
Oral (20m)",Pass 89.29%,Median 10,Average 8.54
NDAA09007U - SCIENCE,Computability and Complexity (CoCo),Master,ECTS: 7.5,Block(s): 3,Group(s): A,"Computers are everywhere today—at work, in our cars, in our living rooms, and in our pockets—and have changed the world beyond our wildest imagination. Yet these marvellous devices are, at the core, a...",Continuous Assesment,Pass 89.29%,Median 7,Average 5.96
NMAK24006U - SCIENCE,"Computability, Turing Machines, and Gödel's Incompleteness Theorems",Master,ECTS: 7.5,Block(s): 1,Group(s): B,"This course is an introduction to computability theory and Gödel's incompleteness theorems.The first half of the course will focus on computability theory, and will include: Recursive and primitive re...",Continuous Assesment,Pass 92.86%,Median 12,Average 10.5
NFYK21004U - SCIENCE,Computational Astrophysics,Master,ECTS: 7.5,Block(s): 2,Group(s): A,"The course gives an introduction to numerical methods for contemporary computational astrophysics. It covers theory and practice for numerical methods including fluid and particle dynamics, gravitatio...","Continuous Assesment
Assignment (4d)",Pass 100%,Median 10,Average 8.13
NFYK22003U - SCIENCE,Computational Atmosphere and Ocean Dynamics,Master,ECTS: 7.5,Block(s): 4,Group(s): B,"In this course we will discuss the world's major atmospheric and oceanic circulation systems, how they are coupled, shape climate and control the carbon cycle: the tropical Hadley circulation and the ...",Oral (30m),Pass 100%,Median N/A,Average N/A
NKEA07016U - SCIENCE,Computational Chemistry,Master,ECTS: 15,Block(s): 1-2,Group(s): A,"Theoy and application of molecular mechanics methods, statistical mechanics methods, statistical computational method, Ab Initio methods, Density Functional Theory methods, Hybrid Quantum / Classical ...","Assignment
Oral (30m)",Pass 100%,Median 12,Average 11.5
NDAK10009U - SCIENCE,Computational Geometry (CG),Master,ECTS: 7.5,Block(s): 3,Group(s): B,The purpose of this course is to introduce the students to the methods for solving computational problems involving geometric objects. We will look at various problems and study algorithmic paradigms ...,Oral (25m),Pass 77.42%,Median 7,Average 7.08
NDAK12006U - SCIENCE,Computational Methods in Simulation (CMIS),Master,ECTS: 7.5,Block(s): 4,Group(s): C,"Computational methods in simulation are an important computer tool in many disciplines like bioinformatics, scientific computing, and computational physics, computational chemistry, computational biol...",Oral (30m),Pass 52.38%,Median 10,Average 8.64
NMAK16005U - SCIENCE,Computational Statistics,Master,ECTS: 7.5,Block(s): 1,Group(s): A,Maximum-likelihood and numerical optimizationThe EM-algorithmStochastic optimization algorithmsSimulation algorithms and Monte Carlo methodsNonparametric density estimationBivariate smoothingNumerical...,Oral (25m),Pass 90.91%,Median 8.5,Average 7.18
NDAB16005U - SCIENCE,Computersystemer (CompSys),Bachelor,ECTS: 15,Block(s): 1-2,Group(s): C,"Kurset ""Computersystemer"" giver et overblik over essensen af maskinarkitekturer, styresystemer, og datanetværk. Kurset er rettet mod datalogistuderende, og søger at udvikle en grundlæggende forståelse...",Written (4h),Pass 66.91%,Median 7,Average 5.3
NFYA04021U - SCIENCE,Condensed Matter Physics 1 (CMP1),Bachelor,ECTS: 7.5,Block(s): 1,Group(s): A,"This course is a modern introduction to the fascinating world of condensed matter physics.  We will build upon basic concepts from quantum mechanics, electromagnetism, and statistical physics to devel...",Written (4h),Pass 91.04%,Median 7,Average 5.85
NFYB10021U - SCIENCE,Condensed Matter Physics 2 (CMP2),Master,ECTS: 7.5,Block(s): 2,Group(s): B,"The course provides an introduction to interesting phenomena in condensed matter physics including spontaneous symmetry breaking, collective phenomena in condensed matter physics, magnetism, supercond...",Oral (20m),Pass 86.67%,Median 10,Average 8.14
NFYK10017U - SCIENCE,Condensed Matter Theory 1 (CMT1),Master,ECTS: 7.5,Block(s): 2,Group(s): C,This course is an introduction to quantum field theoretical methods aimed for both experimentalists and theorists with particular focus on condensed matter physics. The content spans a wide range of t...,Assignment (8h),Pass 100%,Median 10,Average 9.25
NFYK10003U - SCIENCE,Condensed Matter Theory 2 (CMT2),Master,ECTS: 7.5,Block(s): 3,Group(s): B,"The aim of the course is to provide the student with an overview of modern topics in quantum condensed matter systems, including broken symmetry in quantum phases (superconductivity), and to familiari...",Oral (20m),Pass 90%,Median 10,Average 8.2
LFKK10265U - SCIENCE,Conflict Management,Master,ECTS: 7.5,Block(s): 2,Group(s): A,"Most MSc candidates working with sustainability, natural resource management, the environment, land-use, nature conservation, development, landscape architecture or e.g. urban planning must collaborat...",Oral (20m),Pass 98.53%,Median 7,Average 8.06
NBIA04048U - SCIENCE,Conservation (Cons),Bachelor,ECTS: 7.5,Block(s): 2,Group(s): C,"The course will provide an introduction to conservation issues, concentrating on their fundamental biological basis, and the role of scientific research in conservation management. 1. The goals of co...","Oral (20m)
Assignment",Pass 96.49%,Median 10,Average 9.2
NBIK12003U - SCIENCE,Conservation Biology,Master,ECTS: 7.5,Block(s): 2,Group(s): C,"The course will provide an introduction to conservation issues, concentrating on their fundamental biological basis, and the role of scientific research in conservation management. 1. The goals of co...","Oral (20m)
Assignment",Pass 97.14%,Median 10,Average 10.09
NIFK14027U - SCIENCE,Consumer Economics and Food Policy,Master,ECTS: 7.5,Block(s): 2,Group(s): B,"The aim of the course is to give the students a basic understanding of economic thinking in relation to decision making by consumers and producers in the food domain, and to provide an overview of eco...",Oral,Pass 92.86%,Median 7,Average 7.77
NIGK21012U - SCIENCE,Contaminant Hydrogeology,Master,ECTS: 7.5,Block(s): 4,Group(s): C,"Collection of pumping test and slug test data, and data management.Conduction of slug and pumping tests, and borehole logging, on an urban industrial contaminated site.Slug- and pumping test theory an...",Assignment,Pass 84.62%,Median 10,Average 8.46
NMAA05113U - SCIENCE,Continuous Time Finance (FinKont),Master,ECTS: 7.5,Block(s): 2,Group(s): A,Stochastic integrals and Ito formulaStochastic differential equationsArbitrageComplet marketsMartingale methods in finalcial mathematics,Oral (30m),Pass 89.9%,Median 7,Average 6.26
NMAK15010U - SCIENCE,Continuous Time Finance 2: (FinKont2),Master,ECTS: 7.5,Block(s): 3,Group(s): A,"See ""Knowledge"" below. Note that the ""Selected advanced topics"" part (weeks 3-8) varies from year to year.",Continuous Assesment,Pass 100%,Median 12,Average 10.61
NFYK10005U - SCIENCE,Continuum Mechanics,Master,ECTS: 7.5,Block(s): 3,Group(s): B,"In the macroscopic world, most materials that surround us e.g. solids and liquids can safely be assumed to exist as continua, that is, the materials completely fill the space they occupy and the under...",Oral (30m),Pass 100%,Median 12,Average 11.08
NPLK20001U - SCIENCE,Cool Climate Viticulture and Enology,Master,ECTS: 7.5,Block(s): 4,Group(s): A,"The course includes an introduction to wine history, wine legislation and definition of different wine types (table wine, fortified wines etc). An overview is given to the characteristics of the major...",Oral (25m),Pass 97.3%,Median 7,Average 8.31
NFYB19002U - SCIENCE,Cosmology (Astro3),Bachelor,ECTS: 7.5,Block(s): 1,Group(s): A,"The course will give an introduction to cosmology; the formation, content and evolution of the universe. The course will give the students a sense of how astrophysics and cosmology build upon concepts...",Continuous Assesment,Pass 95.29%,Median N/A,Average N/A
NKEB13008U - SCIENCE,Crystallography - BSc,Bachelor,ECTS: 7.5,Block(s): 2,Group(s): A,Crystallography is the main technique by which the three-dimensional structures of molecules are determined. One advantage of crystallography is that similar methods can be used to determine the struc...,Oral (20m),Pass 88.24%,Median 7,Average 7.12
NKEA06015U - SCIENCE,Crystallography - MSc,Master,ECTS: 7.5,Block(s): 2,Group(s): A,Crystallography is the main technique by which the three-dimensional structures of molecules are determined. One advantage of crystallography is that similar methods can be used to determine the struc...,"Assignment
Oral (20m)",Pass 87.5%,Median 7,Average 7.71
NFOK20006U - SCIENCE,Dairy Internship,Master,ECTS: 30,Block(s): 1-2,Group(s): C,The introduction period (initial 2 weeks):This period consists of practical work and theoretical introduction about production and analysis of dairy products.  The practical part of the course will ta...,Continuous Assesment,Pass 100%,Median N/A,Average N/A
NFOK14026U - SCIENCE,Dairy Microbiology,Master,ECTS: 7.5,Block(s): 2,Group(s): B,"The course will contain lectures on:Raw milk microfloraPathogenic and spoilage microfloraBioprotective culturesStarter cultures: primary (lactic acid bacteria) and adjunct (yeasts, moulds, propionibac...",Oral (20m),Pass 97.78%,Median 10,Average 8.11
NFOK21005U - SCIENCE,Dairy Product Technology 1,Master,ECTS: 7.5,"Block(s): 1-2, 4",Group(s): B,"The course deals with the product technologies of a range of non-fermented dairy products, e.g. fluid milk products, concentrated and dried dairy products, butter and spreads, as well as ice cream. Pl...",Oral (20m),Pass 100%,Median 10,Average 8.08
NFOK16006U - SCIENCE,Dairy Product Technology 2,Master,ECTS: 7.5,Block(s): 2,Group(s): C,"The course deals with the following areas:Cheese and fermented milk technology: milk treatment, characterisation of cheese and fermented milk varieties, gross composition of cheese and fermented milks...",Oral (20m),Pass 100%,Median 7,Average 8.34
NBIA06065U - SCIENCE,Danmarks fauna - Hvirveldyr (DanFauna),Bachelor,ECTS: 7.5,Block(s): 4,Group(s): B,"Kursets formål er at give den studerende et grundlæggende kendskab til den danske hvirveldyrfaunas diversitet (fisk, padder, krybdyr, pattedyr og fugle). Der lægges primært vægt på artskendskab og art...",Written (1h),Pass 100%,Median 7,Average 7.36
NIGB21020U - SCIENCE,Danmarks geologiske udvikling,Bachelor,ECTS: 7.5,Block(s): 4,Group(s): A,"Kurset giver en bred gennemgang af Danmarks geologiske udvikling fra Prækambrium og frem til Kvartærtidens nedisninger. Der er fokus på den pladetektoniske ramme og fortidens geografi, og for hver tid...",Oral (20m),Pass 77.78%,Median 10,Average 7.73
NBIK23002U - SCIENCE,"Danske naturtyper, økologi og karakteristik",Master,ECTS: 7.5,Block(s): 1,Group(s): A,Introduktion til danske terrestriske naturtyper og deres økologiske forudsætninger. Hvilke organismer finder vi i forskellige habitattyper og hvilke metoder er der til at studere dem? Hovedvægten vil ...,"Written (1h)
Oral (20m)",Pass 100%,Median 10,Average 9.62
NFOK24001U - SCIENCE,Data Handling and Analyses,Master,ECTS: 7.5,Block(s): 2,Group(s): A,"Students will learn to design, evaluate and optimize sustainable processes using data science tools. The participants will be introduced to general principles of data handling, processing, visualizati...",Oral (20m),Pass 100%,Median 11,Average 10.5
NIFK24000U - SCIENCE,Data Management and Analysis Using R,Master,ECTS: 7.5,Block(s): Summer,Group(s): A,The amount of data available is increasing dramatically. Your future career and Master's thesis will require you to handle and extract information from large quantities of data. We have designed this ...,Oral (15m),Pass N/A,Median N/A,Average N/A
NFYB20003U - SCIENCE,Data og Projekt,Bachelor,ECTS: 7.5,Block(s): 3,Group(s): C,"Kursets hovedformål er, at den studerende skal udvikle sine kompetencer til statistisk analyse og fortolkning af eksperimentelle data, samt at anvende disse kompetencer på et konkret eksperimentelt pr...",Continuous Assesment,Pass 92%,Median 12,Average 10.34
NDAK21006U - SCIENCE,Data Parallel Programming (DPP),Master,ECTS: 7.5,Block(s): 2,Group(s): C,"Data parallel programming models express parallelism declaratively (explicitly) by means of higher-order language constructs, whose rich semantics allow high-level reasoning for exploring the large sp...",Continuous Assesment,Pass 90.48%,Median 12,Average 9.43
NPLK22002U - SCIENCE,Data Processing in Environmental Science and Agriculture,Master,ECTS: 7.5,Block(s): 3,Group(s): C,The course will offer practical knowledge and hands-on experience in different aspects of data science with particular relevance to agronomy.A large range of data challenges is met in both academia an...,Oral (20m),Pass 100%,Median 7,Average 7.88
NBIK23000U - SCIENCE,Data Science for Genomics,Master,ECTS: 7.5,Block(s): 4,Group(s): B,"There are three major subject areas of the course:Usage of R in applied statistics and data handling: This will be used throughout the courseVisualization, handling and analysis of genomic data using ...","Assignment (5d)
Oral (30m)",Pass 82.4%,Median 7,Average 6.82
NIGB21023U - SCIENCE,Data-analyse og præsentation med Python,Bachelor,ECTS: 7.5,Block(s): 2,Group(s): C,"I kurset undervises deltagerne i at organisere geovidenskabelige data på måder, der fremmer effektiv deling af data, og som muliggør en effektiv viderebearbejdelse, analyse og præsentation af data i f...",Assignment,Pass 100%,Median 10,Average 8.9
NDAK17001U - SCIENCE,Data-Driven Financial Models (DatFin),Master,ECTS: 7.5,Block(s): 2,Group(s): A,"The course gives the student a thorough introduction to financial theory, financial markets and products. Besides theory, students will be introduced to practical problems faced by Financial Engineer...",Oral (20m),Pass 100%,Median 7,Average 7.85
NDAB21010U - SCIENCE,Databases and Information Systems (DIS),Bachelor,ECTS: 7.5,Block(s): 4,Group(s): A,"This course introduces students to basic database concepts such as relational databases, normal forms, and transactions. In addition, the course covers system development (basic software development) ...",Written (4h),Pass 66.67%,Median 2,Average 4.19
NFYA06018U - SCIENCE,Datalogi for fysikere (DatF),Bachelor,ECTS: 7.5,Block(s): 2,Group(s): B,"Kursets sigte er at gøre deltagerne i stand til på egen hånd at udvikle programmel, der kan løse forskellige fysiske problemstillinger.Kurset består af fire emnerDatalogiske begreber. For eksempel var...",Continuous Assesment,Pass 97.46%,Median N/A,Average N/A
NDAB17000U - SCIENCE,Datalogiens historie,Bachelor,ECTS: 7.5,Block(s): 2,Group(s): C,Kurset giver et overblik over vigtige aspekter af datalogiens og informationsteknologiens internationale og danske historie med særligt henblik på det 20. århundrede. Der lægges fokus på de ydre ramme...,Assignment,Pass 88.24%,Median 10,Average 8.87
NNDB19000U - SCIENCE,Datalogiens videnskabsteori (VtDat),Bachelor,ECTS: 7.5,Block(s): 4,Group(s): B,Kurset består af tre hovedelementer:1. Generel videnskabsteori2. Videnskabsetik og ­politik3. Emner fra datalogiens videnskabsteori og filosofi Under 1) vil vi med udgangspunkt i datalogifaget undersø...,"Written (1h)
Assignment (2d)",Pass 84.44%,Median 4,Average 4.79
NNDK20004U - SCIENCE,De empirisk eksperimentelle videnskaber,Master,ECTS: 15,Block(s): 1-2,Group(s): Other,På dette kursus arbejder du med at omsætte aktuel naturvidenskabelig forskning til eksperimentel/empirisk baseret undervisning i grundskolen.Vi har specielt fokus på videnskabelige problemstillinger m...,Assignment (30m),Pass 100%,Median 11,Average 9.93
NNDK20003U - SCIENCE,De matematisk modellerende videnskaber,Master,ECTS: 15,Block(s): 3-4,Group(s): Other,Dette kursus giver dig både et teoretisk og praktisk fundament til at anvende matematik som anskuelsesmåde i naturvidenskab og teknologi.Du vil få konkrete erfaringer med matematisk modellering gennem...,Assignment (30m),Pass 100%,Median 10,Average 9
NNDK20002U - SCIENCE,De teknologisk innovative videnskaber,Master,ECTS: 15,Block(s): 1-2,Group(s): Other,I dette kursus får den studerende et teoretisk og praktisk fundament til at kunne undervise i teknologiforståelse og innovationsprocesser i grundskolen med udgangspunkt i STEM-faglige problemstillinge...,Assignment (30m),Pass 100%,Median 12,Average 11.67
NDAK24002U - SCIENCE,Deep Learning (DL),Master,ECTS: 7.5,Block(s): 2,Group(s): C,Deep learning has pushed the boundaries in Artificial Intelligence (AI) and has been outperforming the state-of-the-art in numerous applications across a wide range of domains. These include object cl...,Continuous Assesment,Pass 95.76%,Median 10,Average 8.65
NIDB11007U - SCIENCE,Den moderne idræts udviklingsproces (T-Hist),Bachelor,ECTS: 7.5,Block(s): 1,Group(s): A,Modulet tager udgangspunkt i historiker og sociolog Norbert Elias' tilgang til det moderne samfunds forandringsprocesser. Der vil blive fokuseret på moderniserings- og civiliseringsprocesser i idrætte...,Assignment (5d),Pass 98.17%,Median 4,Average 4.73
NKEK15004U - SCIENCE,Descriptive Inorganic Chemistry,Master,ECTS: 15,Block(s): 3-4,Group(s): A,"Descriptive inorganic chemistry encompassing the entire periodic table. Application of models for electronic structure, molecular structure and reactivity of coordination compounds to concrete chemica...","Written
Oral (40m)",Pass 85.71%,Median 10,Average 8.29
LFKK10390U - SCIENCE,Design by Management,Master,ECTS: 15,Block(s): 1,Group(s): A,"Studio course where theories, concepts and methods from silviculture and landscape architecture are combined in exercises and project work that explores the dynamic of woody vegetation and how this ca...","Oral (20m)
Assignment",Pass 100%,Median 10,Average 10.58
LLEK10294U - SCIENCE,Design of Experiments and Optimization,Master,ECTS: 7.5,Block(s): 1,Group(s): B,"Proper design of experiments is an essential part of any scientific investigation. As such statistical process design, monitoring and control are an integral part of the Food and Biotech industry. In ...",Oral (20m),Pass 100%,Median 8.5,Average 8.8
NDAK23007U - SCIENCE,Designing Collaborative Technologies (DesignCoTech),Master,ECTS: 7.5,Block(s): 3,Group(s): A,"In this course we will explore and experiment with applying new technologies (such as Blockchain, Augmented Reality and the Internet of Things) to support social interaction and collaboration in new w...",Oral (20m),Pass 94.44%,Median 10,Average 9.39
NFOK24004U - SCIENCE,Designing Nutritious Future Dairy Products and Alternatives,Master,ECTS: 7.5,Block(s): Summer,Group(s): A,"The course will cover:The challenge: sustainable and healthy diets - from purpose to practice Processing effects on nutrients in dairy products, hybrid products and their vegan alternatives Nutritiona...",Assignment,Pass N/A,Median N/A,Average N/A
NFOK18000U - SCIENCE,Determinants of Food Consumption,Master,ECTS: 7.5,Block(s): 1,Group(s): C,"The course has its focus on the different factors underlying consumers’ food behaviours. Central to the course are theories on determinants of food consumption, strategies to change behaviour, and the...",Oral (20m),Pass 96.55%,Median 7,Average 8.12
NIFB14033U - SCIENCE,Development Economics,Bachelor,ECTS: 7.5,Block(s): 4,Group(s): B,This course examines challenges posed by poverty affecting a billion people in low-income countries across the world as targeted by the Sustainable Development Goals and taking an economic approach to...,Written (4h),Pass 90.91%,Median 10,Average 8.73
NBIK10020U - SCIENCE,Developmental Biology,Master,ECTS: 7.5,Block(s): 2,Group(s): B,"The course covers theoretical knowledge of the basic principles for experimental embryology, including those of gametogenesis and fertilization, development and differentiation in the early embryo, ge...",ITX (4h),Pass 89.47%,Median 7,Average 7.05
NMAK10019U - SCIENCE,Differential Operators and Function Spaces (DifFun),Master,ECTS: 7.5,Block(s): 3,Group(s): C,"Differential operators. Distribution theory, Fourier transform of distributions. Function spaces. Applications to concrete differential operator problems.","Assignment
Written (3h)",Pass 76.47%,Median 7,Average 6.59
NMAK22002U - SCIENCE,Differentialligninger – for studerende med sidefag (Kandiff),Master,ECTS: 7.5,Block(s): 3,Group(s): B,"Ordinære differentialligninger: Eksistens og entydighed for løsninger til begyndelsesværdiproblemet, potensrækkeløsninger, Bessels ligning, Legendres ligning, eksistens og entydighed for lineære syste...",Written (3h),Pass 83.33%,Median 7,Average 7.17
NMAB11004U - SCIENCE,Differentialligninger (Diff),Bachelor,ECTS: 7.5,Block(s): 3,Group(s): B,"Ordinære differentialligninger: Eksistens og entydighed for løsninger til begyndelsesværdiproblemet, potensrækkeløsninger, Bessels ligning, Legendres ligning, eksistens og entydighed for lineære syste...",Written (3h),Pass 82.35%,Median 4,Average 4.71
NFYK10006U - SCIENCE,Diffusive and Stochastic Processes,Master,ECTS: 7.5,Block(s): 4,Group(s): A,"Stochastic descriptions offer powerful ways to understand fluctuating and noisy phenomena, and are widely used in many disciplines including physics, chemistry, biology, and economics. In this course,...","Assignment (8d)
Oral (25m)",Pass 97.3%,Median 10,Average 9.16
NDAB25000U - SCIENCE,Digital Fabrication and Makerspace Skills for Science (FAB),Bachelor,ECTS: 7.5,Block(s): 1,Group(s): C,"This course focuses on digital fabrication machines (like 3D printers and laser cutters) and electronic sensing technologies (like Arduinos and infrared cameras), and their ability to support research...",Oral (20m),Pass N/A,Median N/A,Average N/A
NDAB15008U - SCIENCE,Diskret matematik og algoritmer (DMA),Bachelor,ECTS: 15,Block(s): 1-2,Group(s): B,"Kurset giver en introduktion til diskret matematik, algoritmer og datastrukturer. Fokus i den matematiske del af kurset er matematisk metode og matematiske værktøjer, som bruges i løsningen af datalog...",ITX (2h),Pass 81.38%,Median N/A,Average N/A
NMAB19000U - SCIENCE,Diskrete matematiske metoder (DisMat),Bachelor,ECTS: 7.5,Block(s): 1,Group(s): C,"Grundlæggende matematisk metodeBasal talteoriLogikMængderRelationer, især ækvivalensrelationerFunktioner, surjektivitet, injektivitet, invers funktionKombinatorikIndledende grafteori, træerPermutation...",Continuous Assesment,Pass 90.61%,Median 7,Average 6.49
NFOK24002U - SCIENCE,Downstream Processing,Master,ECTS: 7.5,Block(s): 3,Group(s): C,The course will familiarize the students with the principles and challenges of downstream processing in bio-based production systems. The course will cover principles of unit operation and the integra...,Oral (20m),Pass 100%,Median 10,Average 9.4
LSLS10180U - SCIENCE,Drift og forvaltning af grønne områder,Bachelor,ECTS: 15,Block(s): 3-4,Group(s): C,"I dette fag beskæftiger vi os med driftsstyring, drift og forvaltning af byens grønne områder. Fra de naturprægede til de urbane. Drift og forvaltning af grønne områder tager, i kurset, udgangspunkt i...",Oral (30m),Pass N/A,Median N/A,Average N/A
LSLS10175U - SCIENCE,Driftsøkonomi,Bachelor,ECTS: 7.5,Block(s): 4,Group(s): C,"Omkostninger: Variable og faste omkostninger, offer-omkostninger, sunk-cost. Indtægter og udgifter og disses indflydelse på likviditet.Regnskabsanalyse og nøgletal: Indtjeningsevne, afkastningsgrad, k...","Oral (1h)
Other",Pass N/A,Median N/A,Average N/A
LSLS20175U - SCIENCE,Driftsøkonomi,Bachelor,ECTS: 7.5,Block(s): 4,Group(s): C,"Omkostninger: Variable og faste omkostninger, offer-omkostninger, sunk-cost. Indtægter og udgifter og disses indflydelse på likviditet.Regnskabsanalyse og nøgletal: Indtjeningsevne, afkastningsgrad, k...","Oral (1h)
Other",Pass N/A,Median N/A,Average N/A
LSLS10133U - SCIENCE,Driftsteknik og logistik,Bachelor,ECTS: 7.5,Block(s): 1,Group(s): C,"Kurset giver den studerende et kendskab til driftsteknik med hovedfokus på brugen af forskellige typer af maskiner i forhold til drifts-, pleje- og anlægsopgaver i skov, det åbne land, ferske vande sa...",Assignment (2d),Pass 95.35%,Median 10,Average 8.23
LSLS20133U - SCIENCE,Driftsteknik og logistik,Bachelor,ECTS: 7.5,Block(s): 1,Group(s): C,"Kurset giver den studerende et kendskab til driftsteknik med hovedfokus på brugen af forskellige typer af maskiner i forhold til drifts-, pleje- og anlægsopgaver i skov, det åbne land, ferske vande sa...",Assignment (2d),Pass 95.35%,Median 10,Average 8.23
NBIK17001U - SCIENCE,Dynamical Models in Molecular Biology,Master,ECTS: 7.5,Block(s): 2,Group(s): C,"This course is intended for students of diverse educational backgrounds within the natural sciences, who wish to gain competency in applying quantitative theory and logic to address questions in molec...",Oral (25m),Pass 100%,Median 10,Average 9.12
NIGB22008U - SCIENCE,Dynamisk stratigrafi - sedimenter i tid og rum,Bachelor,ECTS: 7.5,Block(s): 2,Group(s): C,"Kurset behandler det dynamiske aspekt i stratigrafi hvor sedimentologi, sekvensstratigrafi og bassinudvikling spiller sammen. Kurset bygger videre på lito-, bio-, kronostratigrafi samt sedimentologi, ...",Written (4h),Pass 100%,Median 7,Average 6.95
NFYA05045U - SCIENCE,Dynamiske systemer og kaos (DynSys),Bachelor,ECTS: 7.5,Block(s): 3,Group(s): C,"En introduktion til teorien om dynamiske systemer, som spiller en stor rolle i klassisk fysik, hydrodynamik, biofysik og biologi, kemi og ingeniørvidenskab. I kurset gennemgås begreber indenfor den m...",Written (4h),Pass 91.43%,Median 7,Average 7.84
LHUB10146U - SCIENCE,Dyrs livsformer og funktion,Bachelor,ECTS: 7.5,Block(s): 4,Group(s): C,"Kurset introducerer følgende emner:• Livsformer hos dyregrupper, der i bred forstand anvendes af mennesker (produktionsdyr, kæledyr, hobbydyr, forsøgsdyr, zoo-dyr), deres naturligt forekommende slægtn...",Written (3h),Pass 100%,Median 7,Average 6.23
LBIB10127U - SCIENCE,Dyrs og planters diversitet,Bachelor,ECTS: 7.5,Block(s): 4,Group(s): B,"Dette kursus giver den nødvendige baggrundsviden for alle, der efterfølgende skal beskæftige sig med levende organismer i forskellige sammenhænge. Det kan for eksempel være bæredygtig produktion af fø...",Assignment (2h),Pass 100%,Median 10,Average 8.98
