course_id,title,level,length,timeslot,group,description,exam_type,pass_pct,median,mean,fail_pct
NIGK14056U - SCIENCE,Climate Change and Water Resources,Master, 7.5,2, A,"Contents of the course: 1. Basic statistical concepts. Statistical analysis of historical climatic and hydrologic variables on seasonal and annual basis. Homogeneity test, trend test, analysis of ext...","Assignment
Oral (20m)",Pass 100%, 10, 8.7,0.0
NFYK13000U - SCIENCE,Climate Change Mechanisms and Tipping Points,Master, 7.5,3, C,'The course aims at providing an up-to-date introduction to fundamental physical and bio-geo-chemical mechanisms defining the climate and climate variations on Earth. The following topics are covered:...,Oral (25m),Pass 97.56%, 10, 8.83,2.4399999999999977
NIGK13004U - SCIENCE,Climate Change: An Interdisciplinary Challenge,Master, 15,1-2, C,"The course will comprise the following themes:The climate system, including climate modelsPaleoclimatic evidence and tipping elements of the Earth SystemThe Carbon cycleAdaptation to climate change at...","Assignment
Oral (20m)",Pass 100%, 10, 10.3,0.0
NPLK14018U - SCIENCE,Climate Management in Plant Production and Research,Master, 7.5,2, C,"The course is divided into several topics and when possible, theoretical lectures are combined with practical exercises. The exercises are focused around a plant growth experiment in two different cli...",Oral,Pass 93.33%, 7, 7.53,6.670000000000002
NFYK17002U - SCIENCE,Climate Models and Observations,Master, 7.5,2, A,The course will comprise the following elements:What is a climate model?Observations of climate variations in the recent and deeper pastObservations of present day climate change (Satellite data as we...,Oral (25m),Pass 100%, 10, 9.61,0.0
LPLK10381U - SCIENCE,Climate Solutions,Master, 15,2, A,Climate Solutions is an interdisciplinary course offered by the University of Copenhagen. It is open for MSc students and continuing education students with a relevant BSc background in natural scienc...,"Oral (15m)
Assignment",Pass 100%, 10, 9.07,0.0
NNEK23007U - SCIENCE,Clinical Nutrition and Pathophysiology,Master, 7.5,4, A,The course will focus on the role of nutrition in the prevention and treatment of diseases. The course presents the links between the influence of disease on nutritional status and metabolism of nutri...,Written (2h),Pass 100%, 10, 8.68,0.0
NDAB24009U - SCIENCE,Co-design af digital sundhed,Bachelor, 7.5,1, B,Kurset giver et overblik over forskellige tilgange til design af digitale sundhedsteknologier og praktisk erfaring med co-design metoder. Formålet er at gøre den studerende i stand til at forstå samme...,Assignment (20m),Pass 100%, 10, 8.08,0.0
NIGK17014U - SCIENCE,Coastal Geoscience,Master, 7.5,1, A,This competence-line course teaches state-of the art knowledge within the field of coastal geoscience. The course focuses on coastal dynamics (processes) and coastal deposits on spatial and temporal s...,"Assignment
Oral (20m)",Pass 100%, 10, 9.21,0.0
NMAK17002U - SCIENCE,Complex Analysis 2,Master, 7.5,2, C,"The course covers fundamental aspects of complex analysis, such as Normal families, conformal mapping and Riemann's mapping theoremInfinite products, Weierstrass factorization and applications to Eule...",Oral (30m),Pass 92.86%, 10, 9.38,7.140000000000001
NFYK18005U - SCIENCE,Complex Physics,Master, 7.5,1, A,"The topics that will be covered are: Equilibrium physics with Phase transitions and Ising model,  Monte Carlo simulations, critical phenomena, Scale free systems, Percolation, Self organization, Netwo...","Continuous Assesment
Oral (20m)",Pass 89.29%, 10, 8.54,10.709999999999994
NDAA09007U - SCIENCE,Computability and Complexity (CoCo),Master, 7.5,3, A,"Computers are everywhere today—at work, in our cars, in our living rooms, and in our pockets—and have changed the world beyond our wildest imagination. Yet these marvellous devices are, at the core, a...",Continuous Assesment,Pass 89.29%, 7, 5.96,10.709999999999994
NMAK24006U - SCIENCE,"Computability, Turing Machines, and Gödel's Incompleteness Theorems",Master, 7.5,1, B,"This course is an introduction to computability theory and Gödel's incompleteness theorems.The first half of the course will focus on computability theory, and will include: Recursive and primitive re...",Continuous Assesment,Pass 92.86%, 12, 10.5,7.140000000000001
NFYK21004U - SCIENCE,Computational Astrophysics,Master, 7.5,2, A,"The course gives an introduction to numerical methods for contemporary computational astrophysics. It covers theory and practice for numerical methods including fluid and particle dynamics, gravitatio...","Continuous Assesment
Assignment (4d)",Pass 100%, 10, 8.13,0.0
NFYK22003U - SCIENCE,Computational Atmosphere and Ocean Dynamics,Master, 7.5,4, B,"In this course we will discuss the world's major atmospheric and oceanic circulation systems, how they are coupled, shape climate and control the carbon cycle: the tropical Hadley circulation and the ...",Oral (30m),Pass 100%, N/A, N/A,0.0
NKEA07016U - SCIENCE,Computational Chemistry,Master, 15,1-2, A,"Theoy and application of molecular mechanics methods, statistical mechanics methods, statistical computational method, Ab Initio methods, Density Functional Theory methods, Hybrid Quantum / Classical ...","Assignment
Oral (30m)",Pass 100%, 12, 11.5,0.0
NDAK10009U - SCIENCE,Computational Geometry (CG),Master, 7.5,3, B,The purpose of this course is to introduce the students to the methods for solving computational problems involving geometric objects. We will look at various problems and study algorithmic paradigms ...,Oral (25m),Pass 77.42%, 7, 7.08,22.58
NDAK12006U - SCIENCE,Computational Methods in Simulation (CMIS),Master, 7.5,4, C,"Computational methods in simulation are an important computer tool in many disciplines like bioinformatics, scientific computing, and computational physics, computational chemistry, computational biol...",Oral (30m),Pass 52.38%, 10, 8.64,47.62
NMAK16005U - SCIENCE,Computational Statistics,Master, 7.5,1, A,Maximum-likelihood and numerical optimizationThe EM-algorithmStochastic optimization algorithmsSimulation algorithms and Monte Carlo methodsNonparametric density estimationBivariate smoothingNumerical...,Oral (25m),Pass 90.91%, 8.5, 7.18,9.090000000000003
NDAB16005U - SCIENCE,Computersystemer (CompSys),Bachelor, 15,1-2, C,"Kurset ""Computersystemer"" giver et overblik over essensen af maskinarkitekturer, styresystemer, og datanetværk. Kurset er rettet mod datalogistuderende, og søger at udvikle en grundlæggende forståelse...",Written (4h),Pass 66.91%, 7, 5.3,33.09
NFYA04021U - SCIENCE,Condensed Matter Physics 1 (CMP1),Bachelor, 7.5,1, A,"This course is a modern introduction to the fascinating world of condensed matter physics.  We will build upon basic concepts from quantum mechanics, electromagnetism, and statistical physics to devel...",Written (4h),Pass 91.04%, 7, 5.85,8.959999999999994
NFYB10021U - SCIENCE,Condensed Matter Physics 2 (CMP2),Master, 7.5,2, B,"The course provides an introduction to interesting phenomena in condensed matter physics including spontaneous symmetry breaking, collective phenomena in condensed matter physics, magnetism, supercond...",Oral (20m),Pass 86.67%, 10, 8.14,13.329999999999998
NFYK10017U - SCIENCE,Condensed Matter Theory 1 (CMT1),Master, 7.5,2, C,This course is an introduction to quantum field theoretical methods aimed for both experimentalists and theorists with particular focus on condensed matter physics. The content spans a wide range of t...,Assignment (8h),Pass 100%, 10, 9.25,0.0
NFYK10003U - SCIENCE,Condensed Matter Theory 2 (CMT2),Master, 7.5,3, B,"The aim of the course is to provide the student with an overview of modern topics in quantum condensed matter systems, including broken symmetry in quantum phases (superconductivity), and to familiari...",Oral (20m),Pass 90%, 10, 8.2,10.0
LFKK10265U - SCIENCE,Conflict Management,Master, 7.5,2, A,"Most MSc candidates working with sustainability, natural resource management, the environment, land-use, nature conservation, development, landscape architecture or e.g. urban planning must collaborat...",Oral (20m),Pass 98.53%, 7, 8.06,1.4699999999999989
NBIA04048U - SCIENCE,Conservation (Cons),Bachelor, 7.5,2, C,"The course will provide an introduction to conservation issues, concentrating on their fundamental biological basis, and the role of scientific research in conservation management. 1. The goals of co...","Oral (20m)
Assignment",Pass 96.49%, 10, 9.2,3.510000000000005
NBIK12003U - SCIENCE,Conservation Biology,Master, 7.5,2, C,"The course will provide an introduction to conservation issues, concentrating on their fundamental biological basis, and the role of scientific research in conservation management. 1. The goals of co...","Oral (20m)
Assignment",Pass 97.14%, 10, 10.09,2.8599999999999994
NIFK14027U - SCIENCE,Consumer Economics and Food Policy,Master, 7.5,2, B,"The aim of the course is to give the students a basic understanding of economic thinking in relation to decision making by consumers and producers in the food domain, and to provide an overview of eco...",Oral,Pass 92.86%, 7, 7.77,7.140000000000001
NIGK21012U - SCIENCE,Contaminant Hydrogeology,Master, 7.5,4, C,"Collection of pumping test and slug test data, and data management.Conduction of slug and pumping tests, and borehole logging, on an urban industrial contaminated site.Slug- and pumping test theory an...",Assignment,Pass 84.62%, 10, 8.46,15.379999999999995
NMAA05113U - SCIENCE,Continuous Time Finance (FinKont),Master, 7.5,2, A,Stochastic integrals and Ito formulaStochastic differential equationsArbitrageComplet marketsMartingale methods in finalcial mathematics,Oral (30m),Pass 89.9%, 7, 6.26,10.099999999999994
NMAK15010U - SCIENCE,Continuous Time Finance 2: (FinKont2),Master, 7.5,3, A,"See ""Knowledge"" below. Note that the ""Selected advanced topics"" part (weeks 3-8) varies from year to year.",Continuous Assesment,Pass 100%, 12, 10.61,0.0
NFYK10005U - SCIENCE,Continuum Mechanics,Master, 7.5,3, B,"In the macroscopic world, most materials that surround us e.g. solids and liquids can safely be assumed to exist as continua, that is, the materials completely fill the space they occupy and the under...",Oral (30m),Pass 100%, 12, 11.08,0.0
NPLK20001U - SCIENCE,Cool Climate Viticulture and Enology,Master, 7.5,4, A,"The course includes an introduction to wine history, wine legislation and definition of different wine types (table wine, fortified wines etc). An overview is given to the characteristics of the major...",Oral (25m),Pass 97.3%, 7, 8.31,2.700000000000003
NFYB19002U - SCIENCE,Cosmology (Astro3),Bachelor, 7.5,1, A,"The course will give an introduction to cosmology; the formation, content and evolution of the universe. The course will give the students a sense of how astrophysics and cosmology build upon concepts...",Continuous Assesment,Pass 95.29%, N/A, N/A,4.709999999999994
NKEB13008U - SCIENCE,Crystallography - BSc,Bachelor, 7.5,2, A,Crystallography is the main technique by which the three-dimensional structures of molecules are determined. One advantage of crystallography is that similar methods can be used to determine the struc...,Oral (20m),Pass 88.24%, 7, 7.12,11.760000000000005
NKEA06015U - SCIENCE,Crystallography - MSc,Master, 7.5,2, A,Crystallography is the main technique by which the three-dimensional structures of molecules are determined. One advantage of crystallography is that similar methods can be used to determine the struc...,"Assignment
Oral (20m)",Pass 87.5%, 7, 7.71,12.5
NFOK20006U - SCIENCE,Dairy Internship,Master, 30,1-2, C,The introduction period (initial 2 weeks):This period consists of practical work and theoretical introduction about production and analysis of dairy products.  The practical part of the course will ta...,Continuous Assesment,Pass 100%, N/A, N/A,0.0
NFOK14026U - SCIENCE,Dairy Microbiology,Master, 7.5,2, B,"The course will contain lectures on:Raw milk microfloraPathogenic and spoilage microfloraBioprotective culturesStarter cultures: primary (lactic acid bacteria) and adjunct (yeasts, moulds, propionibac...",Oral (20m),Pass 97.78%, 10, 8.11,2.219999999999999
NFOK21005U - SCIENCE,Dairy Product Technology 1,Master, 7.5,"1-2, 4", B,"The course deals with the product technologies of a range of non-fermented dairy products, e.g. fluid milk products, concentrated and dried dairy products, butter and spreads, as well as ice cream. Pl...",Oral (20m),Pass 100%, 10, 8.08,0.0
NFOK16006U - SCIENCE,Dairy Product Technology 2,Master, 7.5,2, C,"The course deals with the following areas:Cheese and fermented milk technology: milk treatment, characterisation of cheese and fermented milk varieties, gross composition of cheese and fermented milks...",Oral (20m),Pass 100%, 7, 8.34,0.0
NBIA06065U - SCIENCE,Danmarks fauna - Hvirveldyr (DanFauna),Bachelor, 7.5,4, B,"Kursets formål er at give den studerende et grundlæggende kendskab til den danske hvirveldyrfaunas diversitet (fisk, padder, krybdyr, pattedyr og fugle). Der lægges primært vægt på artskendskab og art...",Written (1h),Pass 100%, 7, 7.36,0.0
NIGB21020U - SCIENCE,Danmarks geologiske udvikling,Bachelor, 7.5,4, A,"Kurset giver en bred gennemgang af Danmarks geologiske udvikling fra Prækambrium og frem til Kvartærtidens nedisninger. Der er fokus på den pladetektoniske ramme og fortidens geografi, og for hver tid...",Oral (20m),Pass 77.78%, 10, 7.73,22.22
NBIK23002U - SCIENCE,"Danske naturtyper, økologi og karakteristik",Master, 7.5,1, A,Introduktion til danske terrestriske naturtyper og deres økologiske forudsætninger. Hvilke organismer finder vi i forskellige habitattyper og hvilke metoder er der til at studere dem? Hovedvægten vil ...,"Written (1h)
Oral (20m)",Pass 100%, 10, 9.62,0.0
NFOK24001U - SCIENCE,Data Handling and Analyses,Master, 7.5,2, A,"Students will learn to design, evaluate and optimize sustainable processes using data science tools. The participants will be introduced to general principles of data handling, processing, visualizati...",Oral (20m),Pass 100%, 11, 10.5,0.0
NFYB20003U - SCIENCE,Data og Projekt,Bachelor, 7.5,3, C,"Kursets hovedformål er, at den studerende skal udvikle sine kompetencer til statistisk analyse og fortolkning af eksperimentelle data, samt at anvende disse kompetencer på et konkret eksperimentelt pr...",Continuous Assesment,Pass 92%, 12, 10.34,8.0
NDAK21006U - SCIENCE,Data Parallel Programming (DPP),Master, 7.5,2, C,"Data parallel programming models express parallelism declaratively (explicitly) by means of higher-order language constructs, whose rich semantics allow high-level reasoning for exploring the large sp...",Continuous Assesment,Pass 90.48%, 12, 9.43,9.519999999999996
NPLK22002U - SCIENCE,Data Processing in Environmental Science and Agriculture,Master, 7.5,3, C,The course will offer practical knowledge and hands-on experience in different aspects of data science with particular relevance to agronomy.A large range of data challenges is met in both academia an...,Oral (20m),Pass 100%, 7, 7.88,0.0
NBIK23000U - SCIENCE,Data Science for Genomics,Master, 7.5,4, B,"There are three major subject areas of the course:Usage of R in applied statistics and data handling: This will be used throughout the courseVisualization, handling and analysis of genomic data using ...","Assignment (5d)
Oral (30m)",Pass 82.4%, 7, 6.82,17.599999999999994
NIGB21023U - SCIENCE,Data-analyse og præsentation med Python,Bachelor, 7.5,2, C,"I kurset undervises deltagerne i at organisere geovidenskabelige data på måder, der fremmer effektiv deling af data, og som muliggør en effektiv viderebearbejdelse, analyse og præsentation af data i f...",Assignment,Pass 100%, 10, 8.9,0.0
NDAK17001U - SCIENCE,Data-Driven Financial Models (DatFin),Master, 7.5,2, A,"The course gives the student a thorough introduction to financial theory, financial markets and products. Besides theory, students will be introduced to practical problems faced by Financial Engineer...",Oral (20m),Pass 100%, 7, 7.85,0.0
NDAB21010U - SCIENCE,Databases and Information Systems (DIS),Bachelor, 7.5,4, A,"This course introduces students to basic database concepts such as relational databases, normal forms, and transactions. In addition, the course covers system development (basic software development) ...",Written (4h),Pass 66.67%, 2, 4.19,33.33
NFYA06018U - SCIENCE,Datalogi for fysikere (DatF),Bachelor, 7.5,2, B,"Kursets sigte er at gøre deltagerne i stand til på egen hånd at udvikle programmel, der kan løse forskellige fysiske problemstillinger.Kurset består af fire emnerDatalogiske begreber. For eksempel var...",Continuous Assesment,Pass 97.46%, N/A, N/A,2.5400000000000063
NDAB17000U - SCIENCE,Datalogiens historie,Bachelor, 7.5,2, C,Kurset giver et overblik over vigtige aspekter af datalogiens og informationsteknologiens internationale og danske historie med særligt henblik på det 20. århundrede. Der lægges fokus på de ydre ramme...,Assignment,Pass 88.24%, 10, 8.87,11.760000000000005
NNDB19000U - SCIENCE,Datalogiens videnskabsteori (VtDat),Bachelor, 7.5,4, B,Kurset består af tre hovedelementer:1. Generel videnskabsteori2. Videnskabsetik og ­politik3. Emner fra datalogiens videnskabsteori og filosofi Under 1) vil vi med udgangspunkt i datalogifaget undersø...,"Written (1h)
Assignment (2d)",Pass 84.44%, 4, 4.79,15.560000000000002
NNDK20004U - SCIENCE,De empirisk eksperimentelle videnskaber,Master, 15,1-2, Other,På dette kursus arbejder du med at omsætte aktuel naturvidenskabelig forskning til eksperimentel/empirisk baseret undervisning i grundskolen.Vi har specielt fokus på videnskabelige problemstillinger m...,Assignment (30m),Pass 100%, 11, 9.93,0.0
NNDK20003U - SCIENCE,De matematisk modellerende videnskaber,Master, 15,3-4, Other,Dette kursus giver dig både et teoretisk og praktisk fundament til at anvende matematik som anskuelsesmåde i naturvidenskab og teknologi.Du vil få konkrete erfaringer med matematisk modellering gennem...,Assignment (30m),Pass 100%, 10, 9,0.0
NNDK20002U - SCIENCE,De teknologisk innovative videnskaber,Master, 15,1-2, Other,I dette kursus får den studerende et teoretisk og praktisk fundament til at kunne undervise i teknologiforståelse og innovationsprocesser i grundskolen med udgangspunkt i STEM-faglige problemstillinge...,Assignment (30m),Pass 100%, 12, 11.67,0.0
NDAK24002U - SCIENCE,Deep Learning (DL),Master, 7.5,2, C,Deep learning has pushed the boundaries in Artificial Intelligence (AI) and has been outperforming the state-of-the-art in numerous applications across a wide range of domains. These include object cl...,Continuous Assesment,Pass 95.76%, 10, 8.65,4.239999999999995
NIDB11007U - SCIENCE,Den moderne idræts udviklingsproces (T-Hist),Bachelor, 7.5,1, A,Modulet tager udgangspunkt i historiker og sociolog Norbert Elias' tilgang til det moderne samfunds forandringsprocesser. Der vil blive fokuseret på moderniserings- og civiliseringsprocesser i idrætte...,Assignment (5d),Pass 98.17%, 4, 4.73,1.8299999999999983
NKEK15004U - SCIENCE,Descriptive Inorganic Chemistry,Master, 15,3-4, A,"Descriptive inorganic chemistry encompassing the entire periodic table. Application of models for electronic structure, molecular structure and reactivity of coordination compounds to concrete chemica...","Written
Oral (40m)",Pass 85.71%, 10, 8.29,14.290000000000006
LFKK10390U - SCIENCE,Design by Management,Master, 15,1, A,"Studio course where theories, concepts and methods from silviculture and landscape architecture are combined in exercises and project work that explores the dynamic of woody vegetation and how this ca...","Oral (20m)
Assignment",Pass 100%, 10, 10.58,0.0
LLEK10294U - SCIENCE,Design of Experiments and Optimization,Master, 7.5,1, B,"Proper design of experiments is an essential part of any scientific investigation. As such statistical process design, monitoring and control are an integral part of the Food and Biotech industry. In ...",Oral (20m),Pass 100%, 8.5, 8.8,0.0
NDAK23007U - SCIENCE,Designing Collaborative Technologies (DesignCoTech),Master, 7.5,3, A,"In this course we will explore and experiment with applying new technologies (such as Blockchain, Augmented Reality and the Internet of Things) to support social interaction and collaboration in new w...",Oral (20m),Pass 94.44%, 10, 9.39,5.560000000000002
NFOK18000U - SCIENCE,Determinants of Food Consumption,Master, 7.5,1, C,"The course has its focus on the different factors underlying consumers’ food behaviours. Central to the course are theories on determinants of food consumption, strategies to change behaviour, and the...",Oral (20m),Pass 96.55%, 7, 8.12,3.450000000000003
NIFB14033U - SCIENCE,Development Economics,Bachelor, 7.5,4, B,This course examines challenges posed by poverty affecting a billion people in low-income countries across the world as targeted by the Sustainable Development Goals and taking an economic approach to...,Written (4h),Pass 90.91%, 10, 8.73,9.090000000000003
NBIK10020U - SCIENCE,Developmental Biology,Master, 7.5,2, B,"The course covers theoretical knowledge of the basic principles for experimental embryology, including those of gametogenesis and fertilization, development and differentiation in the early embryo, ge...",ITX (4h),Pass 89.47%, 7, 7.05,10.530000000000001
NMAK10019U - SCIENCE,Differential Operators and Function Spaces (DifFun),Master, 7.5,3, C,"Differential operators. Distribution theory, Fourier transform of distributions. Function spaces. Applications to concrete differential operator problems.","Assignment
Written (3h)",Pass 76.47%, 7, 6.59,23.53
NMAK22002U - SCIENCE,Differentialligninger – for studerende med sidefag (Kandiff),Master, 7.5,3, B,"Ordinære differentialligninger: Eksistens og entydighed for løsninger til begyndelsesværdiproblemet, potensrækkeløsninger, Bessels ligning, Legendres ligning, eksistens og entydighed for lineære syste...",Written (3h),Pass 83.33%, 7, 7.17,16.67
NMAB11004U - SCIENCE,Differentialligninger (Diff),Bachelor, 7.5,3, B,"Ordinære differentialligninger: Eksistens og entydighed for løsninger til begyndelsesværdiproblemet, potensrækkeløsninger, Bessels ligning, Legendres ligning, eksistens og entydighed for lineære syste...",Written (3h),Pass 82.35%, 4, 4.71,17.650000000000006
NFYK10006U - SCIENCE,Diffusive and Stochastic Processes,Master, 7.5,4, A,"Stochastic descriptions offer powerful ways to understand fluctuating and noisy phenomena, and are widely used in many disciplines including physics, chemistry, biology, and economics. In this course,...","Assignment (8d)
Oral (25m)",Pass 97.3%, 10, 9.16,2.700000000000003
NDAB15008U - SCIENCE,Diskret matematik og algoritmer (DMA),Bachelor, 15,1-2, B,"Kurset giver en introduktion til diskret matematik, algoritmer og datastrukturer. Fokus i den matematiske del af kurset er matematisk metode og matematiske værktøjer, som bruges i løsningen af datalog...",ITX (2h),Pass 81.38%, N/A, N/A,18.620000000000005
NMAB19000U - SCIENCE,Diskrete matematiske metoder (DisMat),Bachelor, 7.5,1, C,"Grundlæggende matematisk metodeBasal talteoriLogikMængderRelationer, især ækvivalensrelationerFunktioner, surjektivitet, injektivitet, invers funktionKombinatorikIndledende grafteori, træerPermutation...",Continuous Assesment,Pass 90.61%, 7, 6.49,9.39
NFOK24002U - SCIENCE,Downstream Processing,Master, 7.5,3, C,The course will familiarize the students with the principles and challenges of downstream processing in bio-based production systems. The course will cover principles of unit operation and the integra...,Oral (20m),Pass 100%, 10, 9.4,0.0
LSLS10133U - SCIENCE,Driftsteknik og logistik,Bachelor, 7.5,1, C,"Kurset giver den studerende et kendskab til driftsteknik med hovedfokus på brugen af forskellige typer af maskiner i forhold til drifts-, pleje- og anlægsopgaver i skov, det åbne land, ferske vande sa...",Assignment (2d),Pass 95.35%, 10, 8.23,4.650000000000006
LSLS20133U - SCIENCE,Driftsteknik og logistik,Bachelor, 7.5,1, C,"Kurset giver den studerende et kendskab til driftsteknik med hovedfokus på brugen af forskellige typer af maskiner i forhold til drifts-, pleje- og anlægsopgaver i skov, det åbne land, ferske vande sa...",Assignment (2d),Pass 95.35%, 10, 8.23,4.650000000000006
NBIK17001U - SCIENCE,Dynamical Models in Molecular Biology,Master, 7.5,2, C,"This course is intended for students of diverse educational backgrounds within the natural sciences, who wish to gain competency in applying quantitative theory and logic to address questions in molec...",Oral (25m),Pass 100%, 10, 9.12,0.0
NIGB22008U - SCIENCE,Dynamisk stratigrafi - sedimenter i tid og rum,Bachelor, 7.5,2, C,"Kurset behandler det dynamiske aspekt i stratigrafi hvor sedimentologi, sekvensstratigrafi og bassinudvikling spiller sammen. Kurset bygger videre på lito-, bio-, kronostratigrafi samt sedimentologi, ...",Written (4h),Pass 100%, 7, 6.95,0.0
NFYA05045U - SCIENCE,Dynamiske systemer og kaos (DynSys),Bachelor, 7.5,3, C,"En introduktion til teorien om dynamiske systemer, som spiller en stor rolle i klassisk fysik, hydrodynamik, biofysik og biologi, kemi og ingeniørvidenskab. I kurset gennemgås begreber indenfor den m...",Written (4h),Pass 91.43%, 7, 7.84,8.569999999999993
LHUB10146U - SCIENCE,Dyrs livsformer og funktion,Bachelor, 7.5,4, C,"Kurset introducerer følgende emner:• Livsformer hos dyregrupper, der i bred forstand anvendes af mennesker (produktionsdyr, kæledyr, hobbydyr, forsøgsdyr, zoo-dyr), deres naturligt forekommende slægtn...",Written (3h),Pass 100%, 7, 6.23,0.0
LBIB10127U - SCIENCE,Dyrs og planters diversitet,Bachelor, 7.5,4, B,"Dette kursus giver den nødvendige baggrundsviden for alle, der efterfølgende skal beskæftige sig med levende organismer i forskellige sammenhænge. Det kan for eksempel være bæredygtig produktion af fø...",Assignment (2h),Pass 100%, 10, 8.98,0.0
NFYK15008U - SCIENCE,Earth and Climate Physics,Master, 7.5,1, B,"The purpose of the course is to provide an overview of the Earth and its climate system and the underlying physical processes, and to develop simple numerical models of phenomena related to the Earth ...","Assignment
Oral (30m)",Pass 100%, 12, 10.97,0.0
NIGK15005U - SCIENCE,Ecological Modelling,Master, 7.5,4, B,"The course teaches basic knowledge of ecological modelling, with a focus on the representation of processes in ecosystems and their interaction with the environment. It addresses how numerical models ...","Assignment
Oral (20m)",Pass 100%, 10, 9.85,0.0
NIGK13008U - SCIENCE,Ecology and Ecosystems Science in relation to Environmental Economics,Master, 15,1-2, A,"This course provides students of environmental and natural resource economics with advanced knowledge on natural and environmental sciences as basis for economic valuation of ecosystem services, and d...",Oral (25m),Pass 93.62%, 10, 8.62,6.3799999999999955
NDAB24008U - SCIENCE,Econometrics B (ØkB),Bachelor, 7.5,3, B,Econometrics B covers a number of statistical models relevant for empirical economic analysis as well as mathematical methods for analyzing them. The course gives an account of classical principles fo...,Oral (20m),Pass 70.37%, 4, 4.76,29.629999999999995
NIFK16001U - SCIENCE,Economic Efficiency and Benchmarking,Master, 7.5,2, A,"Assessing the efficiency of resource utilization is important, as this is the first step in subsequently improving the performance. This is relevant in both the private sector, due to the intensity of...",Oral (30m),Pass 89.47%, 7, 6,10.530000000000001
LOJK10248U - SCIENCE,Economic Valuation Methods and Cost-Benefit Analysis,Master, 7.5,3, A,"Cost-Benefit Analysis (CBA) provides a framework for analysing the desirability of new policies and projects in welfare economic terms, as well as assessing tradeoffs made in decision making at all le...",Oral (20m),Pass 89.74%, 7, 7.62,10.260000000000005
NIGK13007U - SCIENCE,Ecosystem Services from Forests and Nature,Master, 7.5,2, A,"The course explores the variety of ecosystem services (ES) provided by forest, semi-natural, and agricultural land uses. The key idea behind the course is to give the student hands-on experiences with...",Oral (25m),Pass 100%, 8.5, 8.5,0.0
NIGK17013U - SCIENCE,"Ecosystems, Climate and Climate Change",Master, 7.5,1, B,"The focus of the course is on the relations between terrestrial ecosystems and global climate systems. Seen in a historical and present perspective as well as on a temporal and spatial scale, the inte...","Assignment (7d)
Oral (20m)",Pass 95.24%, 7, 7.24,4.760000000000005
NNEK24010U - SCIENCE,Eksperimentel fysiologi,Master, 15,1-2, A,"Kursets formål er at give den studerende detaljeret indsigt i metoder og teknologier til at belyse humanfysiologiske problemstillinger. Gennem kurset opnår den studerende indsigt i humanforskning, her...",Continuous Assesment,Pass 100%, 10, 8.75,0.0
NKEB14006U - SCIENCE,Eksperimentel fysisk kemi (FysKem2),Bachelor, 7.5,2, B,"Hovedsagligt eksperimentelt kursus i fysisk kemi med hovedvægten på de emner som er blevet gennemgået i TermoKin: termodynamik, kemisk ligevægt, transportligninger for gasser og væsker, kemisk kinetik...","Written (2h)
Assignment",Pass 100%, 8.5, 8.61,0.0
NPLB14022U - SCIENCE,Eksperimentelle jordbundsundersøgelser,Bachelor, 7.5,"1, 3", A,Kurset er bygget op omkring udførelse af en række eksperimentelle øvelser i laboratoriet (”hands on”) samt bearbejdning og rapportering af egne måleresultater. Det er således en eksperimentelt baseret...,Oral (20m),Pass 100%, 10, 8.05,0.0
NKEB10001U - SCIENCE,Eksperimentelt kursus i almen kemi (EksAlmKem),Bachelor, 7.5,1, A,"Eksperimentelle øvelser i kemi i vandige øpløsninger, stofidentifikation og rotationsøvelser i kinetik, ekstraktion, kromatografi , indledende sikkerhedskursus",Continuous Assesment,Pass 100%, N/A, N/A,0.0
NFYB10005U - SCIENCE,Elektrodynamik og bølger (EM2),Bachelor, 7.5,2, A,"Kurset bygger videre på Elektromagnetisme (EM1). Hvor EM1 primært gik ud på at opstille de grundlæggende naturlove, og anvende dem på statiske situationer, vil vi i EM2 fokusere på elektrodynamikken, ...","Written (4h)
Continuous Assesment",Pass 85.47%, 7, 5.85,14.530000000000001
NFYB10023U - SCIENCE,Elektromagnetisme (EM1),Bachelor, 7.5,1, B,Kurset giver en indføring i elektromagnetiske grundbegreber og afsluttes med introduktion af Maxwells ligninger. Kurset består af en teoretisk og en eksperimentel del. Den teoretiske del introducerer ...,"Written (4h)
Continuous Assesment",Pass 68.85%, 4, 3.94,31.150000000000006
NFYB24000U - SCIENCE,Elektromagnetisme og kredsløb,Bachelor, 7.5,1, A,"Formålet er at indføre elektromagnetismen, herunder den nødvendige matematik. Der lægges også vægt på forståelse af praktiske elektriske kredsløb. Ampere's lov, Introduktionsloven, Maxwell's forskydn...",Oral (20m),Pass 100%, 10, 9.28,0.0
NFYB23001U - SCIENCE,Elektrostatik og dataanalyse,Bachelor, 7.5,4, A,"Formålet med kurset er at introducere elektrostatikken som baggrund for forståelse af elektromagnetismen, herunder den nødvendige matematik. Der lægges også vægt på forståelse af praktiske elektriske ...",Written (4h),Pass 95.24%, 10, 9.24,4.760000000000005
NFYA04036U - SCIENCE,Elementary Particle Physics,Master, 7.5,1, A,"The purpose of this course is to give the student an understanding of relativistic quantum field theory. A general introduction to Quantum Field Theory will be given, with an aim towards applications:...","Continuous Assesment
Assignment (8h)",Pass 84.62%, 7, 6.69,15.379999999999995
